2026-04-09 20:07:07 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:07:09 | trip_planner | ERROR | [Node: Aggregator] Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:07:09 | trip_planner | WARNING | Completed with 6 error(s): ["Destination Research Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Budget Planner Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Hotel Finder Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Itinerary Planner Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Transport Node Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Aggregator Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"]
2026-04-09 20:07:09 | trip_planner | INFO | Trip planner workflow completed
2026-04-09 20:07:09 | trip_planner | WARNING | Plan generated with warnings: ["Destination Research Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Budget Planner Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Hotel Finder Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Itinerary Planner Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Transport Node Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}", "Aggregator Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}"]
2026-04-09 20:17:34 | trip_planner | INFO | LangGraph trip planner graph (with weather node) compiled
2026-04-09 20:17:34 | trip_planner | INFO | [Node: Destination Research] Starting for: Kolkata
2026-04-09 20:17:34 | trip_planner | INFO | TavilySearchTool initialized
2026-04-09 20:17:34 | trip_planner | INFO | GroqClient initialized with llama3-8b-instant
2026-04-09 20:17:34 | trip_planner | INFO | CurrencyConverter initialized
2026-04-09 20:17:34 | trip_planner | INFO | Tavily search: 'travel guide Kolkata Food & Cuisine, History & Culture best places to visit weat...' 
2026-04-09 20:17:35 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:38 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:40 | trip_planner | ERROR | [Node: Destination Research] Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:17:40 | trip_planner | INFO | [Node: Currency Conversion] Starting currency setup
